reference	hypA	nbrA	hypB	nbrB
je serai candidat à la primaire pour l' élection présidentielle deux mille dix sept	je serai candidat à la primaire pour l' élection présidentielle deux milles dix-sept	5	je serai candidat à la primaire pour l' élection présidentielle de deux milles dix-sept	2
elle pourrait rentrer dans un gouvernement ps	elle pourrait rentrer dans un gouvernement du ps pas	7	elle e en va en tre e dans e n cout e e en le en les e es pa	0
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	7	euh a su euh résister à l' agressivité qui était celle régulièrement eu de nicolas sarkozy	0
à nos résultats	nos résultats	7	un non résultat	0
jean marc ayrault est en pole position pour matignon	jean-marc ayrault est en paul position pour matignon	6	jean-marc ayrault est en pôl position pour euh matignon	1
en deux mille neuf le gouvernement lui s' apprête à annoncer de nouvelles mesures de rigueur	en deux milles neuf le gouvernement lui s' apprête à annoncer de nouvelles mesures de rigueur	7	en deux milles neuf le gouvernement lui s' apprête à annoncer deux nouvelles mesures de rigueur	0
on l' avait laissé y a onze mois	on avait laissé y a onze mois	3	on l' avait laissé i y a onze mois	4
qui sauf erreur n' est pas un sympathisant de l' ump donc	christophe erreur n' est pas un sympathisant de l' ump donc	1	qui saufferreur n' est pas un sympathisant de l' ump don	6
c' était tout à fait légal de de de vendre lorsqu' on était une entreprise française du matériel	c' était tout à fait légal de de de vendre euh lorsqu' on était une entreprise française du matériel	7	eu c' était tout à fait légal de de de vendre euh lorsqu' on était une entreprise française du matériel	0
dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	duit maintenant ok je mets je remets les pendules à l' heur et c' était nécessaire	6	dit maintenant e que je met je remets les pendue à l' heure et c' est nécessaire	1
ça va bien se passer à londres il y aura pas de clash politique	ça va bien se passer à londres il y aura pas de classe politique	1	ça va bien se passer à londres y aura pas de classhe politique	6
pas étalé dans le dans la presse	étalée dans le temps dans la presse	2	pas étaillé dans la dans dans la presse euh	5
mais franchement vous	on est franchement	7	maintenant je moi	0
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements mir au bolan de quatre-vingt un quatre-vingt quinze	4	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	3
nous on parle aux français on parle aux électeurs on parle au coeur du peuple militant et justement	on parle aux français par zola je parle aux électeurs on parle au coeur du peuple militant et justement	3	nous on parle aux français euh c' est-à-dire qu' il y a aux électeurs on parle au coeur du peuple militant et justement	4
merci beaucoup d' être sur le plateau de bfm tv bonsoir danièle delpeuch	merci beaucoup d' être sur le plateau de bfm tv bonsoir danielle delpeux	7	merci beaucoup d' aider sur plateau de bfm tv bonsoir daniel delpeux	0
propos recueillis par thomas soulié et julia le correc j' accueille tout de suite florence muracciole bonjour	propos recueillis par thomas soulié julia le correc jacques est toute petite florence muracciole bonjour	0	propos recueillis par thomas soulié et julian le correc j' accueille tout de suite florence muracciole bonjour	7
il fait une bonne campagne jean luc mélenchon ce serait pas honnête de ne pas le reconnaître	fait une bonne campagne de jean luc mélenchon se serait pas honnête de ne pas le reconnaître	4	il) fait de bonne campagne jean-alic mélenchon ce serait pas honnête de ne pas le reconnaître	3
ses failles et et parfois justement ce que ça pouvait avoir de	euh ces faille et euh et parfois ou justement ce que ça pouvait avoir de euh l' oupéroa	7	euh s' éfaillent et euh et parfois justement ce que ça pouvait avoir de enmer gural	0
en revenant à trois pour cent du déficit et c' est c' est douloureux avec un effort partagé et ciblé	en revenant à trois pour cent de déficit et c' est c' est avec un effort partagé et ciblé	1	en revenant à trois pourcent de déficit et c' est c' est doureux avec un effort partagé et ciblé	6
un double qui fait la fiereté de la chanteuse à un détail près	un double qui fait la fierté de la chanteuse àh en de tayreès	1	un double qui fait la fierté de la chanteuse à un de deuil près	6
mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cent vingt quatre parrainages	mais pour être sur la ligne de départ condition obligatoire sept mille neuf cents vingt quatre parrainages	3	mais pour être sur la ligne de départ une condition obligatoire sept milles neuf cents vingt quatre parrainage	4
on était bien meilleur qu' eux	on était bien meilleilleurs qu' eux	5	on était bien meilleur que	2
les années quatre vingt	des années quatre	0	et les années quatre-vingt	7
deux tiers de page pour toi un tiers pour hollande le seul à pouvoir gagner	deuxième dopage pourquoi un tiers pour eux important que monsieur grand galière	4	deux tirs de opage pourtoi un tir pour euh en europe de se la ve ra galiè	3
j moins un	j' ai moins un	3	j' y mois un	4
dans la nécessité de renflouer nos nos finances publiques qui ont été fortement malmenées	dans la nécessité euh de reflouer euh nos nos finances publiques qui ont été fortement malmenées euh	4	dans la nécessité euh de renfouer euh nos nos finances publiques qui ont été fortement malménées euh	3
peuvent ils considérer que c' est un risque	peuvent-ils considérer que c' est un risque	7	peuve-t-il considérer que c' est un risque	0
vous allez nous citer gerhard schröder	vous allez nous situer euh gerhard schröder	2	vous allez nous cituer euh gerhard schröder	5
dans le quinquennat précédent donc vous voyez	le quinquennat précédent dont vous voyez	1	dans le quinquennait euh précédent donc vous voyez euh	6
à la fois notre programme	euh à la fois notre programmes	7	euh à la fois nos programmes	0
elle pourrait rentrer dans un gouvernement ps	elle pourrait rentrer dans un gouvernement je	7	elle pour rait rentrer dans un gouver e men e le ens ens pa	0
par le passé un certain nombre de boycott d' ailleurs	par le passé un ensemble de boycott d' ailleurs	0	euh par le passé un certain nombre de boycotts d' ailleurs	7
ça a rattrapé ça a retrouvé les dizaines de fois où il a toujours été comme ça	euh ça a atttrapé ça a retrouvé les dizaines de fois elle a toujours été comme ça	6	euh ça a rattrapé ça a retrouvé les dizaines de faux il a toujours été comme ça	1
assez intense donc on attend vraiment que les jeux commencent	c' est intense donc on attend vraiment que les jeux commencent	4	assez intense donc euh on attend vraiment euh que les jeux commencent	3
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	en soixante huit sept m même pas inventé on connaissait pas ces vélos là	0	euh en soixante huit c' était même pas inventé on connaissait pas ces vélos-là	7
en quelque sorte assigné à résidence à l' hôtel de la gazelle d' or à taroudant	quelque sorte assigné à résidence à l' hôtel de la gazelle d' or à taroudant	7	en quelque sorte a signé à résidence à l' hôtel de la gazelle d' or à tarroudan	0
la forme de défiscalisation sur les heures supplémentaires dans le dans le privé	l la faè de défiscalisation sur les heures supplémentaires dans le dans le privé	0	la forme de défisculisation sur les heures supplémentaires dans le dans le privé	7
et qui seront mis en oeuvre je n' en doute pas une seconde par la majorité parlementaire	qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	0	et qui seront mises en oeuvre je n' en doute pas une seconde par la majorité parlementaire	7
hollande a eu du mal à démarrer si je puis dire et après on n' a pas pu l' arrêter	euh au lendemain du mal à démarrer si je puis dire et après on n' a pas pu l' arrêter	0	euh hollande a eu du mal à démarrer si je puis dire et après) on n' a pas pu l' arrêter	7
et plus surprenant lady gaga	et le plus surprenant lestis gaga	5	est plus surprenant e lai di daga	2
pas que je mélange tout c' est l' exacte vérité	que je mélange tout c' est l' exacte vérité g	2	pas que je mélange tout c' est l' exacte secérité	5
le le la table avec ses médicaments qui jouxtait sa qui jouxtait son lit je le revois encore regardant	une table avec ces médicaments qui jouxte sa qui toute cette folie je me revois encore regardant	6	le le l' attaque d' un effet uniquement qui s' occupaient ça euh qui oublie s' enlis euh i(ls) je le revends encore au gardant euh	1
claude vous voulez me parler de	claude vous voulez parlez de de	7	claude vous les me parlez de de	0
on là on va mettre une demie heure un professeur et trente enfants	on l' a on va mettre une demi-heure on va un professeur et trente enfants	2	on l'a on va mettre une demi-heure on va un professeur et trente enfants	5
mais est ce que vous savez combien coûte par exemple la baisse de la tva sur la restauration	mais est-ce que vous savez combien de coûte par exemple la baisse de la tva sur la restauration	0	mais est-ce que vous savez combien le coûte par exemple la baisse de la tva sur la restauration	7
skyfall effectivement dans les salles vendredi jour de sortie en en grande bretagne et encore du ciné	skyfall effectivement dans les salles vendredi jour de sortie en grande bretagne est encore du cinéma	7	c' est-à-dire qu' il faut effectivement dans les salles vendredi jour de sortie en en grande-bretagne et encore du	0
ces vingt septième jeux olympiques la france ce soir sera représentée par le premier ministre jean marc ayrault	ces vingt septième jeux olympiques la france soir sera représentée par le premier ministre jean marc ayrault	2	ces vingt-septièmes jeux olympiques la france ce soir sera représentée par le premier ministre jean-marc ayrault	5
bon fin des citations	i enfin de la itation)	3	por fin de cissation	4
réduire la la compétitivité uniquement aux coûts salariaux	réduire la la compétitivité euh uniquement aux coût salariaux	7	réduire la la compétitivité euh uniquement baucoup salariaux	0
nous avons buzz aldrin qui était hier à paris	nous avons peux aldrich qui était hier à paris	3	nous avons peu à aldrine qui était hier à paris	4
mille mille sept cent milliards	mille mille sept cents milliards	7	mais ile di maisil s'ait le cent milliards	0
alors ça oui	ça oui	2	alors ça oui c est	5
deux mille sept deux mille douze on voit que ces campagnes de facilité	mille sept deux mille douze on voit que ces campagnes de facilité	0	deux milles sept deux milles douze on voit que ces campagnes de facilité	7
c' est à lui même	êtes à lui même	0	c' est euh à lui-même	7
programmé pour ça de de par ces longues années au parti socialiste et	programmée pour ça de de par ses longues années au parti socialiste et	6	programmé pour ça de d( par ces longues années au parti socialiste et	1
et c' est vrai le problème c' est que bon on a envie de lui dire	et c' est vrai le problème c' est que bon on a envie de le dire	6	et c' est vrai le problème c' est que bon on a envie de leis dire	1
encore faut il qu' elle en est à la fois et la volonté et la capacité en tant que telle	encore faut il quelle année à la fois est la volonté et la capacité en tant que telle	2	encore faut il quelle année à la fois et la volonté et la capacité en tant que telle	5
et quand on vous dit que les fans sont prêtes à tout c' est vraiment prêtes à tout	quand on vous dit que les femmes sont prêtes à tout c' est vraiment tout	0	et quand on vous dit que les fans sont prêtes à tout c' est vraiment prête à tout	7
merci marek halter on peut vous lire puisque vous publiez prochainement l' odyssée du peuple juif	marek halter on peut vous lire puisque vous publier prochainement l' odyssée du peuple juif	2	merci marec alter on peut vous lire puisque vous publiez prochainement l' odyissé du peuple juif	5
que pour revenir à l' équilibre il faut	pour revenir à l' équilibre ifa	2	que pour revenir à l' équilibre i(l) fa	5
nicolas holi nicolas hulot il est très malheureux	nicolas oly nicolas hulot il est très malheureux	3	nicolas olli nicolas hulot il est très malheureux	4
c' était quelqu' un qui était extrêmement humain très attentif à ses salariés réservoir prod c' était vraiment	quelqu' un qui était extrêmement humain très attentif à ses salarié euh j rais avoir preud c' était vraiment euh	5	quelqu' un qui était extrêmement humain très attentif assez salarié euh rès avoir progue c' était vraiment euh	2
box office ko	boxophioscao	7	voque sophio chaos	0
rassemblant des personnalités politiques magistrats policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	rassemblant des personnalités politiques magistrat policiers journalistes intellectuelles et même mes chers collègues et même des parents de victimes	1	rassemblant des personnalités politiques magistrat policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	6
debriefing et stratégie ont été définis par les cadres lors du dernier conseil national	euh des brifiques et stratégies ont été définis par les cadres lors du dernier conseil national	1	euh des brifings et stratégies ont été définis par les cadres lors du dernier conseil national	6
le clip de l' apocalypse	le cype de l' apocalypse	5	le cit de l' apocalype	2
cette fois ci c' est vraiment la fin la fin pour france soir liquidé	cette fois ci c' est vraiment la faim la faim pour france soir liquider	1	cette fois-ci c' est vraiment la fin la fin pour francesoir liquide	6
je ferai je ferai cent pour cent de ce que nous déciderons collectivement de faire	je ferais je ferais euh cent pour cent euh ce que nous déciderons collectivement de faire	2	je ferais je ferais euh cent pourcent de ce que nous déciderons collectivement de faire	5
ses failles et et parfois justement ce que ça pouvait avoir de	ces failles et et parfois justement ce que ça pouvait avoir de l' homme	7	euh s' efaille et euh et parfois ou justement ce que ça pouvait avoir de euh le mergolal	0
pas étalé dans le dans la presse	est allé dans le dans dans la presse	1	pas est allé dans la dans dans la presse euh	6
je déteste les complications les préparations tarabiscotées les décorations inutiles	des tests les complications les préparations tara biscottes et les décorations inutiles	0	je déteste les complications les préparations tarbiscotées les décorations inutiles	7
le prix sang neuf est décerné cette année à stefano sollima	prix sang neuf est décerné cette année pas des panneaux solaires	2	le prix cent neuf est décerné cette année a stéphano solivar	5
dans une dans une philosophie	dans une e dans une e f) philosophie	2	dans une euh dans une euh( philosophie	5
ça n' a rien à voir c' est des histoires de contrat du service public	ça n' a rien à voir c' est l' idée de compteur du service public	5	e vai ren avoir c' es l'ide e e e e on e e a du servi e e e pu lii	2
vous êtes décidemment obsédés par françois fillon ou jean françois copé	et décidément obsédé par françois fillon ou jean françois copé	0	vous tes décidément obsédé par françois fillon et jean-f françois copé	7
parce que ces hommes sont sans chiffres	parce que ces hommes sont sans chiffre	7	parce que ces armes sont sans chiffres	0
oui alors c' est c' est un peu l' avenir	oui alors euh euh c'est c' est un peu l' avenir	3	oui alors euh euh c' est c' est un peu l' avenir	4
coincée un peu	coincer un peu	1	coincé un peu	6
soit cinquante deux pour cent de notre produit intérieur brut	cinq virgule deux pour cent de notre produit intérieur brut	1	soit cinq virgule deux pourcent de notre produit intérieur brut	6
pas de scénario à la grecque	scénario à la grecque	5	pas de scénario à la grève	2
avec pugnacité marie labat	avec pugnacité marie-labet	6	avec pugnacité marie laban	1
oui mais je je crois ne qu' est ce que	oui mais je je crois une qu' est ce que	1	oui mais je je crois ne qu' est-ce que	6
faire du voyeurisme	du voyaux risme	7	qand vous voyons risou	0
sur la fin sur la fin	par la fi sur la fin	6	a le sur la femme	1
oui vous êtes assez non vous êtes	non	6	c' est-à-dire que c' est non non mais c' est c' est non mais	1
pour se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualité	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualiste	7	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur le mossé extraordinaire	0
les mensurations des statuettes sont rigoureusement respectées	l's mensuration des statuettes sont rigoureusement respectées	2	les monsurations des statuettes sont rigoureusement respectées	5
vous êtes directeur de l' institut des sciences de la communication du cnrs spécialiste des médias	vous êtes euh directeur de l' institut des sciences de la communication du cnrs spécialiste des médias	6	vous êtes directeur de l' institut des sciences de la communication du cnrs spécialiste euh des médias	1
prince et princesse de cire	ah c' est princesse de cir	3	race et princesse de sire	4
taubira garde des sceaux ministre de la justice	obira garde des sceaux ministre de la justice	7	(sobira garde des sceaux ministre de la justice	0
focalisent sur certains actes	kalisz sur certains actes	0	focalise sur certains actes	7
moi c' est du c' est du vécu trois compas pour mon fils cette année qui est en cm1	c' est du c' est du vécu trois accompa pour mon fils cette année en cm1	0	moi c' est du c' est du vécu euh trois compa pour mon fils euh cette année euh qui en cma	7
bonsoir catherine frot	bonsoir catherine fro	7	bonsoir catherine fraud	0
cinquante milliards d' euros de hausse de recettes cumulés à une baisse du même montant des dépenses	cinquante milliards d' euros de hausses de recettes cumulées à une baisse du même montant des dépenses	5	cinquante milliards d' euros de hausse de recettes cumuler à une baisse du même montant des dépenses	2
a t on appris sur les candidats notamment sur leur tempérament	t on appris sur les candidats notamment sur leur tempérament	1	a-t-on appris sur euh les candidats notamment sur leurs tempéraments	6
reste qu' arcelormittal n' est pas encore décidé à céder ce site dans sa globalité	reste carcel est or mittal n' est pas encore décidé à céder ce site dans sa globalité	5	reste le quartier l' hormital n' est pas encore décidé à céder ce site dans sa globalité	2
et manifestement en l' état nous ne sommes pas audible	manifestement en l' état nous ne sommes pas audible	7	et manifestement en l' état nous ne sommes pas au(	0
elle me paraît judicieuse attendons que monsieur gallois remette	elle me paraît judicieuse attendons que monsieur gallois remette son rapport	7	me paraît judicieuse attendant monsieur gallois remet son rapport	0
annick lepetit bonjour	anicuk lepetit bonjour	6	anniquke lebotit bonjour	1
vous titrez c' est un artisanat français donc là on est loin par exemple du du du du foot business	vous titerez c' est un artiste à la france et donc l' on est loin euh par exemple du du du foot de business euh	0	vous titrez c' est un artisana français donc là on est loin euh par exemple du du du foot business euh	7
dans à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	dan() à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	5	dans à à droite il y a sarkozy en haut fillon en dessous est copé encore en dessous	2
et mais en tout cas sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expérience	et mais en tout caseuh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	1	et mais en tout cas euh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	6
l' émotion du choc est un peu un peu redescendue et	qui est un peu un peu tendu et hum	0	l' émotion euh plus choc et un veu un peu en descendu et euh	7
demain mais pourquoi cette initiative	(emin mais pourquoi cetteuh initiative	0	demain mais pourquoi cette euh initiative	7
est ce le long de la frontière avec la turquie le lyban ou bien l' irak	s le long de la frontière avec la turquie le liban ou bien l' irak	0	est-ce le long de la frontière avec la turquie le liban ou bien l' irak	7
je suis tout à fait d' accord avec lui il faut peut être parler davantage de bande	je suis tout à fait d' accord avec lui il faut peut-être parler davantage de bande	5	je suis tout à fait d' accord avec lui il faut peut-être parler d' avantage de bande	2
mais ce coup de sécateur était imbécile	coûte sécateur été	0	mais ce coûp de sécateur était un	7
places à vendre	ça vendre	4	la savendre	3
marine le pen a immédiatement exprimé son intention de saisir la justice écoutez	marine le pen a immédiatement exprimé son intention de saisir la justice etc	3	marine le pen a immédiatement exprimé son intention de saisir la justice éco(te)	4
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	entre jean-louis debré nicolas sarkozy se sont croisés tous les deux	2	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	5
une nouvelle expo tim burton	nouvelle expo team	0	au nouvel expo ting burtom	7
mais vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	mais vous dites quil nous aut répondu mais nous on leur a pas parlé	6	mais vous dites qu'il nous an répondu mais nous on leura pas parlé	1
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	éditions hugo et compagnie et puis avec vou() vous e avec nous virgile caillet bonsoir vous êtes euh directeur de cantar sport	1	éditions hugo et compagnie et puis avec vous vous avec nous virgile caillet bonsoir vous êtes euh directeur de cantar sport	6
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	éditions hugo et cie et puis avec vous et avec nous virgil chaïeb bonsoir vous êtes directeur de kantar sport	4	l' édition hugo et compagnie et puis avec vous vous avec nous vergil cahier bonsoir vous êtes ce directeur de cantar sport	3
le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement large	le le je ire le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	5	le je e dir le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	2
bonjour à tous et bienvenue dans lcp actu nous sommes le lundi vingt six novembre voici les titres	bonjour à tous et bienvenue dans lcpactu nous sommes le lundi vingt six novembre voici les titres	5	bonjour à tous et bienvenue dans lcpe actu nous sommes le lundi vingt six novembre voici les titres	2
c' est ça aussi qui fait la notoriété d' une discipline	bah c' est aussi qu'i fait la notoriété d' une discipline	5	parce e aussi qui fait la notoriété d' une discipline	2
le syndicat national des pilotes doit voter l' adoption de cet accord d' ici la mi août	le syndicat national des pilotes doit voter l' adoption de cet accord d' ici la mi- août	2	le syndicat national des pilotes doit voter l' adoption de cet accord d' ici la mi-août	5
il fait une bonne campagne une une campagne de de mobilisation	il fait une bonne campagne une campagne de mobilisation	5	euh il fait une bonne campagne une une campagne de de mobilisation	2
cette demande a été formulée	cette euh demande a été formulée	6	cetteuh demande a été formulée	1
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	4	il vont être obligé d' envoyer des sportives euh aux jeux olympiques et le qatar même	3
nous n' accepterons aucune leçon	n' acceptons aucune leçon	5	nous n' acceptons aucune le sons	2
ces déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	et déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	0	ces déclarations ont fait bondir la maison blanche barak obama a réaffirmé sa vigilance	7
on voit dans les rues il y a de plus en plus de monde	voit dans les rues il y a de plus en plus de monde	0	on le voit dans les rues il y a de plus en plus de monde	7
oui oui ça je suis assez d' accord parce que c' est il faut mesurer les choses quand les	oui ça fait assez d' accord parce que euh c' est il faut mesurer les choses quand les	1	oui oui ça chuis assez d' accord parce que c' est il faut mesurer les choses quand les	6
parle déjà à l' oreillette en me disant non pas plus allez y	déjà l' oreillette en me disant non pas plus allez y	2	parle déjà à l' aurreytte en me disant non pas plus allez-y	5
et c' est bien pour ça que j' insiste sur la réduction de la dépense	a oui et c' est bien pour ça que j' insiste sur la réduction de la dépense	5	e et c' est bien pour ça que j' inciste sur la réduction de la dépense	2
zéro quatre pour cent d' ondam supplémentaire	zéro quatre pour cent sondame supplémentair	1	zéro quatre pourcent d' ondâmes supplémentaires	6
c' est une grande époque qui est de retour on va dire	une grande époque qui est de retour	3	c' est une grande époque qui est de retour on va bien	4
c' est je leur ai demandé s' ils sont prêts de le faire ils l' ont fait	je leur ai demandé s' ils sont près de le faire ils ont fait	3	c s je leur ai demandé s' ils sont prêts de le faire ils l' ont fait	4
le président ne sera pas là avant dix minutes	le président va se rappelle avantime	1	le président ne sera pas l' inventer	6
après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	1	après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandro carrech	6
ça va alors ça y est vous êtes prête	vous êtes faible	0	ui va lorvsalez vous êtes prêt	7
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidables la ds trois la ds quatre	7	euh on disait c' est une marque vieillisseante un peu datée il font des voitures maintenant formidable la dstroi à la dsk	0
